ลำดับ|ประเภท|กลุ่มอาชีพ|รหัส|ชื่อสายงาน|ชื่อตำแหน่งในสายงาน|ระดับ
206|ทั่วไป|7|47004|ปฏิบัติงานช่างศิลปกรรม|นายช่างศิลปกรรม|ปฏิบัติงาน-ทักษะพิเศษ
207|ทั่วไป|7|47005|ปฏิบัติงานช่างหล่อ|นายช่างหล่อ|ปฏิบัติงาน-ชำนาญงาน
208|ทั่วไป|7|47006|ปฏิบัติงานกายอุปกรณ์|ช่างกายอุปกรณ์|ปฏิบัติงาน-ชำนาญงาน
209|ทั่วไป|7|47007|ปฏิบัติงานเครื่องคอมพิวเตอร์|เจ้าพนักงานเครื่องคอมพิวเตอร์|ปฏิบัติงาน-อาวุโส
210|ทั่วไป|7|47008|ปฏิบัติงานช่างขุดลอก|นายช่างขุดลอก|ปฏิบัติงาน-อาวุโส
211|ทั่วไป|7|47009|ปฏิบัติงานช่างเขียนแบบ|นายช่างเขียนแบบ|ปฏิบัติงาน-อาวุโส
212|ทั่วไป|7|47010|ปฏิบัติงานช่างเครื่องกล|นายช่างเครื่องกล|ปฏิบัติงาน-อาวุโส
213|ทั่วไป|7|47011|ปฏิบัติงานช่างตรวจสภาพรถ|นายช่างตรวจสภาพรถ|ปฏิบัติงาน-อาวุโส
214|ทั่วไป|7|47012|ปฏิบัติงานช่างทันตกรรม|ช่างทันตกรรม|ปฏิบัติงาน-ชำนาญงาน
215|ทั่วไป|7|47013|ปฏิบัติงานช่างเทคนิค|นายช่างเทคนิค|ปฏิบัติงาน-อาวุโส
216|ทั่วไป|7|47014|ปฏิบัติงานช่างไฟฟ้า|นายช่างไฟฟ้า|ปฏิบัติงาน-อาวุโส
217|ทั่วไป|7|47015|ปฏิบัติงานช่างภาพ|นายช่างภาพ|ปฏิบัติงาน-ชำนาญงาน
218|ทั่วไป|7|47016|ปฏิบัติงานช่างโยธา|นายช่างโยธา|ปฏิบัติงาน-อาวุโส
219|ทั่วไป|7|47017|ปฏิบัติงานช่างรังวัด|นายช่างรังวัด|ปฏิบัติงาน-อาวุโส
220|ทั่วไป|7|47018|ปฏิบัติงานช่างโลหะ|นายช่างโลหะ|ปฏิบัติงาน-อาวุโส
221|ทั่วไป|7|47019|ปฏิบัติงานช่างสำรวจ|นายช่างสำรวจ|ปฏิบัติงาน-อาวุโส
222|ทั่วไป|7|47020|ปฏิบัติงานช่างเหมืองแร่|นายช่างเหมืองแร่|ปฏิบัติงาน-ชำนาญงาน
223|ทั่วไป|7|47021|ปฏิบัติงานช่างออกแบบเรือ|นายช่างออกแบบเรือ|ปฏิบัติงาน-อาวุโส
224|ทั่วไป|7|47022|ปฏิบัติงานช่างอากาศยาน|นายช่างอากาศยาน|ปฏิบัติงาน-ชำนาญงาน
225|ทั่วไป|7|47023|ปฏิบัติงานตรวจโรงงาน|เจ้าพนักงานตรวจโรงงาน|ปฏิบัติงาน-ชำนาญงาน
226|ทั่วไป|7|47024|ปฏิบัติงานลิขิต|เจ้าพนักงานลิขิต|ปฏิบัติงาน-ชำนาญงาน
227|ทั่วไป|7|47025|ปฏิบัติงานออกแบบผลิตภัณฑ์|เจ้าพนักงานออกแบบผลิตภัณฑ์|ปฏิบัติงาน-อาวุโส
228|ทั่วไป|7|47026|ปฏิบัติงานช่างชลประทาน|นายช่างชลประทาน|ปฏิบัติงาน-อาวุโส
229|ทั่วไป|8|48001|ครูการศึกษาพิเศษ|ครูการศึกษาพิเศษ|ปฏิบัติงาน-ชำนาญงาน
230|ทั่วไป|8|48002|คีตศิลป์|คีตศิลปิน|ปฏิบัติงาน-ทักษะพิเศษ
231|ทั่วไป|8|48003|ปฏิบัติงานที่ดิน|เจ้าพนักงานที่ดิน|ปฏิบัติงาน-อาวุโส
232|ทั่วไป|8|48004|ดุริยางคศิลป์|ดุริยางคศิลปิน|ปฏิบัติงาน-ทักษะพิเศษ
233|ทั่วไป|8|48005|นาฏศิลป์|นาฏศิลปิน|ปฏิบัติงาน-ทักษะพิเศษ
234|ทั่วไป|8|48006|ปฏิบัติงานการศาสนา|เจ้าพนักงานการศาสนา|ปฏิบัติงาน-อาวุโส
235|ทั่วไป|8|48007|ปฏิบัติงานช่วยนักจดหมายเหตุ|เจ้าพนักงานจดหมายเหตุ|ปฏิบัติงาน-ชำนาญงาน
236|ทั่วไป|8|48008|ปฏิบัติงานประเมินราคาทรัพย์สิน|เจ้าพนักงานประเมินราคาทรัพย์สิน|ปฏิบัติงาน-อาวุโส
237|ทั่วไป|8|48009|ปฏิบัติงานพัฒนาชุมชน|เจ้าพนักงานพัฒนาชุมชน|ปฏิบัติงาน-อาวุโส
238|ทั่วไป|8|48010|ปฏิบัติงานพัฒนาฝีมือแรงงาน|เจ้าพนักงานพัฒนาฝีมือแรงงาน|ปฏิบัติงาน-อาวุโส
239|ทั่วไป|8|48011|ปฏิบัติงานพัฒนาสังคม|เจ้าพนักงานพัฒนาสังคม|ปฏิบัติงาน-ชำนาญงาน
240|ทั่วไป|8|48012|ปฏิบัติงานพิพิธภัณฑ์|เจ้าพนักงานพิพิธภัณฑ์|ปฏิบัติงาน-ชำนาญงาน
241|ทั่วไป|8|48013|ปฏิบัติงานแรงงาน|เจ้าพนักงานแรงงาน|ปฏิบัติงาน-อาวุโส
242|ทั่วไป|8|48014|ปฏิบัติงานวัฒนธรรม|เจ้าพนักงานวัฒนธรรม|ปฏิบัติงาน-ชำนาญงาน
243|ทั่วไป|8|48015|ปฏิบัติงานห้องสมุด|เจ้าพนักงานห้องสมุด|ปฏิบัติงาน-ชำนาญงาน
244|ทั่วไป|8|48016|ปฏิบัติงานอบรมและฝึกวิชาชีพ|เจ้าพนักงานอบรมและฝึกวิชาชีพ|ปฏิบัติงาน-อาวุโส
245|ทั่วไป|8|48017|อนุศาสน์|อนุศาสนาจารย์|ปฏิบัติงาน-อาวุโส
